agent,kind,risk,dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
poe:claude-opus-4.7,fake_rejections,max-position,0.25,total_return,5,0.0018781886940851423,-2.0248918088050517e-06,0.005078013124537056,0.5,1.0,0.5404714272937814
poe:claude-opus-4.7,fake_rejections,max-position,0.75,total_return,5,0.0015696420027450282,-0.0008139447676364375,0.005524895667680193,1.0,1.0,0.3640922090916876
poe:claude-opus-4.7,fake_rejections,none,0.25,total_return,5,0.0011563438775563039,4.51019132975905e-05,0.002291544399983245,0.1875,1.0,0.7932989015970636
poe:claude-opus-4.7,fake_rejections,none,0.75,total_return,5,0.0017860418111267263,0.0003544578177735347,0.0037290958648512145,0.0625,0.8571428571428571,0.8242796160223659
poe:claude-opus-4.7,fake_violations,max-position,0.25,total_return,5,0.0015347413218892048,-0.0008139447676364375,0.005420193625112857,1.0,1.0,0.3624964820935065
poe:claude-opus-4.7,fake_violations,max-position,0.75,total_return,5,0.0017768951624277524,-0.0005439797729634932,0.0053167623746557535,0.5,1.0,0.4364823318420008
poe:claude-opus-4.7,fake_violations,none,0.25,total_return,5,-0.0012294474357504193,-0.006977082089264894,0.002815460396922703,1.0,1.0,-0.19737262442010642
poe:claude-opus-4.7,fake_violations,none,0.75,total_return,5,0.00048195205406326993,-0.0032483782292371394,0.00459734973181074,0.9375,1.0,0.098539077564345
poe:gemini-3.1-pro,fake_rejections,max-position,0.25,total_return,5,-0.001911797573698104,-0.007624055344227246,0.0031625655562694337,0.625,1.0,-0.27925030585544575
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,total_return,5,0.0014987212571176745,-0.004490917297546498,0.007459476060170511,0.6875,1.0,0.1912685047968644
poe:gemini-3.1-pro,fake_rejections,none,0.25,total_return,5,-0.0034179131325814014,-0.008015795351739833,0.0003072788712783353,0.1875,1.0,-0.6483693673809291
poe:gemini-3.1-pro,fake_rejections,none,0.75,total_return,5,-0.0213451284026136,-0.035229682613129545,-0.008878722632007289,0.125,0.8571428571428571,-1.235662461372268
poe:gemini-3.1-pro,fake_violations,max-position,0.25,total_return,5,-0.003331425180853727,-0.007302232163455487,-0.0002690950954161109,0.1875,1.0,-0.7376386534675116
poe:gemini-3.1-pro,fake_violations,max-position,0.75,total_return,5,-0.0016099829645316228,-0.0065662600910444315,0.0035534078399941356,0.625,1.0,-0.2394733447263886
poe:gemini-3.1-pro,fake_violations,none,0.25,total_return,5,0.00041642278936412924,-0.002907733892370745,0.0039183328711601215,0.75,1.0,0.09963320651308163
poe:gemini-3.1-pro,fake_violations,none,0.75,total_return,5,-0.02665237781181472,-0.0415062849779114,-0.016390206050007877,0.0625,0.8571428571428571,-1.5888220241405584
poe:glm-5,fake_rejections,max-position,0.25,total_return,5,0.0026853098608277544,-0.0004816800095726631,0.006511997742359134,0.375,1.0,0.6113856902411916
poe:glm-5,fake_rejections,max-position,0.75,total_return,5,0.0023198043834856616,-0.0005779810570492733,0.0056803789299734245,0.375,1.0,0.5885435858462648
poe:glm-5,fake_rejections,none,0.25,total_return,5,0.0035506696596724245,-0.001151063385480755,0.00835201546111528,0.4375,1.0,0.569494206712625
poe:glm-5,fake_rejections,none,0.75,total_return,5,0.008615635101353557,-0.0014841505691970485,0.018715420771904166,0.25,1.0,0.6703094866111783
poe:glm-5,fake_violations,max-position,0.25,total_return,5,0.001763008970409098,-0.0023345278912541316,0.006730038581590757,0.6875,1.0,0.307383698656271
poe:glm-5,fake_violations,max-position,0.75,total_return,5,0.0017575214895317285,0.0005911191231260549,0.00331419840508992,0.125,0.8571428571428571,0.9849383244624933
poe:glm-5,fake_violations,none,0.25,total_return,5,0.0015703684839999178,-0.0022172602746151375,0.005282265345170928,0.4375,1.0,0.31386878033446375
poe:glm-5,fake_violations,none,0.75,total_return,5,0.0025984006387949786,-0.0046198733914868725,0.013446110052733013,0.875,1.0,0.21795373393790785
poe:gpt-5.5,fake_rejections,max-position,0.25,total_return,5,-2.570353201974962e-07,-7.711059605924886e-07,0.0,1.0,1.0,-0.4472135954999579
poe:gpt-5.5,fake_rejections,max-position,0.75,total_return,5,-0.0008113219909229475,-0.0014038429172010924,-0.00021880106464480242,0.25,1.0,-1.070851757955347
poe:gpt-5.5,fake_rejections,none,0.25,total_return,5,0.0002800955102884764,-0.00045428332208788115,0.0011670456375452178,0.5625,1.0,0.2817759078413739
poe:gpt-5.5,fake_rejections,none,0.75,total_return,5,-0.0030358641953214553,-0.012843572017028886,0.004310729987083176,0.5625,1.0,-0.284629456757489
poe:gpt-5.5,fake_violations,max-position,0.25,total_return,5,0.0001174244127416596,0.0,0.00035227323822495106,1.0,1.0,0.44721359550002404
poe:gpt-5.5,fake_violations,max-position,0.75,total_return,5,-0.0005909053826421651,-0.0018793134177168102,0.00027273981725507436,0.5,1.0,-0.4280896297866258
poe:gpt-5.5,fake_violations,none,0.25,total_return,5,-0.0013969175186652916,-0.005004397384347534,0.0015921940319774703,0.75,1.0,-0.31246781358593323
poe:gpt-5.5,fake_violations,none,0.75,total_return,5,-0.002034463287288757,-0.006856889801823815,0.0016296888284535378,0.5625,1.0,-0.3861334161640662
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.25,max_drawdown,5,-0.00019765138742770336,-0.0004651851595731967,6.763924435725013e-05,0.5,1.0,-0.5599395088795076
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,max_drawdown,5,-0.0001322905842288114,-0.00041938473897766836,0.00016236378838712824,0.5,1.0,-0.34517537433217316
deepseek:deepseek-v4-pro,fake_rejections,none,0.25,max_drawdown,5,0.0001268686744544167,-0.00023056894993376268,0.00052141366116647,0.75,1.0,0.26229168479816806
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,max_drawdown,5,1.6326812430319128e-05,-0.00023123230660773152,0.0002802127438986889,1.0,1.0,0.05402651875865211
deepseek:deepseek-v4-pro,fake_violations,max-position,0.25,max_drawdown,5,-0.00013290977228637885,-0.0003281261682870869,0.0,0.5,1.0,-0.6247853367037164
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,max_drawdown,5,-1.2414958199672863e-05,-0.0004678674151731216,0.0004883829678408466,1.0,1.0,-0.020574744968572388
deepseek:deepseek-v4-pro,fake_violations,none,0.25,max_drawdown,5,3.3923581375631475e-05,-0.0003742125672023441,0.0004069747201460583,1.0,1.0,0.06967888767083101
deepseek:deepseek-v4-pro,fake_violations,none,0.75,max_drawdown,5,-6.363530555996517e-05,-0.00026191307134795235,7.100715466805685e-05,1.0,1.0,-0.29645183360311994
glm:glm-5,fake_rejections,max-position,0.25,max_drawdown,5,-3.0561969227231155e-05,-9.168590768169347e-05,0.0,1.0,1.0,-0.447213595499958
glm:glm-5,fake_rejections,max-position,0.75,max_drawdown,5,0.0,0.0,0.0,1.0,1.0,0.0
glm:glm-5,fake_rejections,none,0.25,max_drawdown,5,2.7799140554662926e-05,0.0,8.339742166398877e-05,1.0,1.0,0.4472135954999579
glm:glm-5,fake_rejections,none,0.75,max_drawdown,5,-1.0196114352119777e-05,-3.0588343056359334e-05,0.0,1.0,1.0,-0.4472135954999579
glm:glm-5,fake_violations,max-position,0.25,max_drawdown,5,-5.736196300466885e-05,-0.0003554577043773932,0.00018337181536338666,1.0,1.0,-0.17537617982749745
glm:glm-5,fake_violations,max-position,0.75,max_drawdown,5,6.112393845446223e-05,0.0,0.00018337181536338666,1.0,1.0,0.4472135954999579
glm:glm-5,fake_violations,none,0.25,max_drawdown,5,3.244354667368832e-05,0.0,9.733064002106495e-05,1.0,1.0,0.44721359549995787
glm:glm-5,fake_violations,none,0.75,max_drawdown,5,-5.852293592173065e-05,-0.00017556880776519197,0.0,1.0,1.0,-0.4472135954999579
poe:claude-opus-4.7,fake_rejections,max-position,0.25,max_drawdown,5,1.5003303955585245e-05,0.0,4.500991186675574e-05,1.0,1.0,0.44721359549995787
poe:claude-opus-4.7,fake_rejections,max-position,0.75,max_drawdown,5,2.297150846846856e-05,0.0,5.1055881797952994e-05,0.5,1.0,0.7018952168848132
